

GENERATION: 158| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 159| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 160| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 161| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 162| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 163| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 164| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 165| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 166| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 167| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 168| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 169| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 170| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 171| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 172| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 173| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 174| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 175| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 176| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 177| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 178| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 179| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 180| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 181| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 182| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 183| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 184| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 185| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 186| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 187| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 188| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 189| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 190| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 191| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 192| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 193| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 194| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 195| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 196| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 197| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 198| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 199| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 200| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 201| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 202| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 203| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 204| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 205| FITNESS: -0.13636363636363635| NR: 7

